,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Average,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
25,0,0,0,0,30,1,0,1,1,0,0,0,0,0,1,55.3,1530.6,0,51.019999999999996,0,0,0,0,0
26,1,0,1,1,47,1,1,0,1,0,0,1,1,0,1,99.35,4749.15,1,101.04574468085106,1,0,0,1,0
27,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,30.2,30.2,1,30.2,0,0,0,1,0
28,1,0,1,0,72,1,1,1,1,1,1,1,1,2,1,90.25,6369.45,0,88.46458333333334,0,0,1,0,0
29,0,0,0,1,17,1,0,0,0,0,0,1,1,0,1,64.7,1093.1,1,64.3,0,0,0,0,1
30,0,1,1,0,71,1,1,1,1,1,1,0,0,2,1,96.35,6766.95,0,95.30915492957746,1,0,1,0,0
31,1,1,1,0,2,1,0,0,0,1,0,1,1,0,1,95.5,181.65,0,90.825,1,0,1,0,0
32,0,0,1,1,27,1,0,1,1,1,1,0,0,1,0,66.15,1874.45,0,69.42407407407407,0,0,0,0,1
33,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.2,20.2,0,20.2,0,1,0,0,0
34,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,45.25,45.25,0,45.25,0,0,0,0,0
35,0,0,1,1,72,1,1,1,1,0,1,1,0,2,0,99.9,7251.7,0,100.71805555555555,1,0,0,0,0
36,1,0,0,0,5,1,0,0,0,0,0,0,0,0,1,69.7,316.9,1,63.379999999999995,1,0,0,1,0
37,0,0,0,0,46,1,0,0,0,1,0,0,0,0,1,74.8,3548.3,0,77.13695652173914,1,0,1,0,0
38,1,0,0,0,34,1,1,0,1,1,0,1,1,0,1,106.35,3549.25,1,104.38970588235294,1,0,0,1,0
39,0,0,0,0,11,1,1,0,0,1,0,1,1,0,1,97.85,1105.4,1,100.4909090909091,1,0,0,0,0
40,1,0,1,1,10,1,0,0,1,0,0,0,0,1,0,49.55,475.7,0,47.57,0,0,0,0,1
41,0,0,1,1,70,1,1,1,1,0,0,1,0,2,1,69.2,4872.35,0,69.605,0,0,1,0,0
42,0,0,1,1,17,1,0,0,0,0,0,0,0,1,0,20.75,418.25,0,24.602941176470587,0,1,0,0,1
43,0,0,0,0,63,1,1,1,1,1,1,1,0,2,1,79.85,4861.45,0,77.16587301587302,0,0,1,0,0
44,0,0,1,0,13,1,1,1,1,0,1,1,0,0,1,76.2,981.45,0,75.49615384615385,0,0,0,1,0
45,0,0,0,0,49,1,1,0,0,0,0,0,1,0,1,84.5,3906.7,0,79.72857142857143,1,0,0,1,0
46,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,49.25,97.0,0,48.5,0,0,0,0,1
47,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,80.65,144.15,1,72.075,1,0,0,1,0
48,1,0,0,0,52,1,1,1,0,0,1,1,1,2,1,79.75,4217.8,0,81.11153846153846,0,0,1,0,0
49,0,0,1,1,69,1,1,1,0,1,1,0,0,2,1,64.15,4254.1,0,61.6536231884058,0,0,1,0,0
50,0,1,0,0,43,1,1,0,1,0,0,1,0,0,1,90.25,3838.75,0,89.27325581395348,1,0,0,1,0
51,0,0,0,0,15,1,0,1,1,0,0,1,1,0,1,99.1,1426.4,1,95.09333333333333,1,0,1,0,0
52,0,1,1,0,25,1,1,1,0,0,1,1,0,0,1,69.5,1752.65,0,70.10600000000001,0,0,1,0,0
53,0,1,1,0,8,1,1,0,1,0,0,0,0,0,1,80.65,633.3,1,79.1625,1,0,1,0,0
54,0,1,1,1,60,1,0,1,1,1,1,0,1,1,1,74.85,4456.35,0,74.27250000000001,0,0,1,0,0
55,1,1,0,0,18,1,1,0,0,0,0,1,1,0,1,95.45,1752.55,1,97.36388888888888,1,0,0,1,0
56,0,0,1,1,63,1,1,1,0,0,0,1,1,1,1,99.65,6311.2,0,100.17777777777778,1,0,1,0,0
57,1,1,1,1,66,1,1,0,1,1,1,1,1,1,1,108.45,7076.35,0,107.21742424242424,1,0,0,1,0
58,0,0,1,1,34,1,1,0,0,0,0,0,0,2,0,24.95,894.3,0,26.302941176470586,0,1,1,0,0
59,0,0,0,0,72,1,1,0,0,1,1,1,1,2,1,107.5,7853.7,0,109.07916666666667,1,0,1,0,0
60,0,0,1,0,47,1,1,0,0,1,0,1,1,0,1,100.5,4707.1,0,100.15106382978725,1,0,0,1,0
61,1,0,0,0,60,1,1,0,1,0,0,1,0,0,1,89.9,5450.7,0,90.845,1,0,0,0,0
62,1,0,1,0,72,0,0,1,1,1,0,0,0,2,0,42.1,2962.0,0,41.138888888888886,0,0,0,0,0
63,0,0,1,1,18,1,0,0,0,1,1,0,0,1,1,54.4,957.1,0,53.172222222222224,0,0,1,0,0
64,0,0,0,0,9,1,1,0,0,0,0,1,1,0,0,94.4,857.25,1,95.25,1,0,0,1,0
65,0,0,0,0,3,1,0,0,1,0,1,1,1,0,1,75.3,244.1,0,81.36666666666666,0,0,0,1,0
66,1,0,1,0,47,1,1,0,1,0,0,0,0,1,1,78.9,3650.35,0,77.66702127659575,1,0,0,1,0
67,0,0,0,0,31,1,0,0,1,1,1,1,1,2,0,79.2,2497.2,0,80.55483870967741,0,0,0,0,1
68,0,0,1,1,50,1,0,0,0,0,0,0,0,2,0,20.15,930.9,0,18.618,0,1,0,0,0
69,1,0,0,0,10,1,0,1,0,1,0,0,0,0,1,79.85,887.35,0,88.735,1,0,0,0,1
70,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,49.05,49.05,0,49.05,0,0,0,0,1
71,0,0,1,1,52,1,0,0,0,0,0,0,0,1,1,20.4,1090.65,0,20.974038461538463,0,1,0,1,0
72,1,1,1,1,64,1,1,1,0,1,1,1,1,2,1,111.6,7099.0,0,110.921875,1,0,0,0,0
73,1,0,1,1,62,1,1,0,0,0,0,0,0,2,1,24.25,1424.6,0,22.97741935483871,0,1,0,0,0
74,0,0,0,1,3,1,0,1,0,0,1,0,1,0,1,64.5,177.4,0,59.13333333333333,0,0,0,0,0
75,0,1,0,0,56,1,1,1,1,1,0,1,1,1,0,110.5,6139.5,0,109.63392857142857,1,0,0,1,0
76,0,0,0,0,46,1,0,0,0,0,0,0,1,1,0,55.65,2688.85,0,58.45326086956521,0,0,1,0,0
77,0,0,1,1,8,1,0,1,1,0,0,0,0,0,0,54.65,482.25,0,60.28125,0,0,0,0,1
78,1,1,0,0,30,1,0,1,1,0,0,1,1,0,1,74.75,2111.3,0,70.37666666666668,0,0,0,1,0
79,0,0,1,1,45,1,1,0,0,0,0,0,0,1,1,25.9,1216.6,0,27.035555555555554,0,1,1,0,0
80,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,79.35,79.35,1,79.35,1,0,0,1,0
81,0,0,1,1,11,0,0,1,0,0,0,1,1,0,0,50.55,565.35,0,51.39545454545455,0,0,0,1,0
82,0,0,1,0,7,1,0,0,0,1,0,0,0,0,1,75.15,496.9,1,70.98571428571428,1,0,0,0,0
83,0,0,0,0,42,1,0,0,1,1,1,1,1,0,1,103.8,4327.5,0,103.03571428571429,1,0,0,0,0
84,0,0,1,0,49,1,0,0,0,0,0,0,0,2,1,20.15,973.35,0,19.864285714285714,0,1,0,0,0
85,1,0,0,0,9,1,1,0,1,0,0,1,1,0,1,99.3,918.75,0,102.08333333333333,1,0,1,0,0
86,0,0,1,0,35,1,0,1,0,0,0,1,0,1,1,62.15,2215.45,0,63.29857142857142,0,0,0,0,0
87,0,0,1,1,48,1,0,0,0,0,0,0,0,2,0,20.65,1057.0,0,22.020833333333332,0,1,0,0,0
88,0,0,1,1,46,1,0,0,0,0,0,0,0,2,1,19.95,927.1,0,20.15434782608696,0,1,0,0,1
89,1,0,1,0,29,0,0,0,0,0,0,1,0,0,0,33.75,1009.25,0,34.80172413793103,0,0,0,0,1
90,1,0,1,1,30,1,0,0,1,1,0,0,0,0,0,82.05,2570.2,0,85.67333333333333,1,0,0,0,0
91,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,74.7,74.7,0,74.7,1,0,0,1,0
92,1,0,1,1,66,1,1,1,0,1,1,1,1,2,1,84.0,5714.25,0,86.57954545454545,0,0,0,0,1
93,0,0,0,0,65,1,1,1,1,1,0,1,1,0,1,111.05,7107.0,0,109.33846153846154,1,0,1,0,0
94,1,0,0,0,72,1,1,0,1,1,0,1,1,2,1,100.9,7459.05,0,103.59791666666666,1,0,0,0,0
95,0,0,0,0,12,1,1,1,0,0,0,0,0,0,1,78.95,927.35,1,77.27916666666667,1,0,0,1,0
96,1,0,1,1,71,1,1,1,1,0,1,0,0,1,1,66.85,4748.7,0,66.8830985915493,0,0,1,0,0
97,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,21.05,113.85,1,22.77,0,1,0,0,1
98,1,0,0,0,52,1,0,0,0,0,0,0,0,2,0,21.0,1107.2,0,21.292307692307695,0,1,0,0,0
99,0,1,1,0,25,1,0,0,1,1,0,1,1,0,1,98.5,2514.5,1,100.58,1,0,0,1,0
100,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.2,20.2,0,20.2,0,1,0,0,1
101,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,19.45,19.45,0,19.45,0,1,0,1,0
102,1,0,0,0,38,1,1,0,0,1,1,1,0,1,0,95.0,3605.6,0,94.88421052631578,1,0,0,0,0
103,0,1,1,0,66,0,0,0,1,1,0,1,0,1,0,45.55,3027.25,0,45.86742424242424,0,0,0,0,0
104,1,0,1,0,68,1,1,0,1,1,1,1,1,2,1,110.0,7611.85,1,111.93897058823529,1,0,0,0,0
105,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,24.3,100.2,0,20.04,0,0,0,0,1
106,0,0,1,1,72,1,1,1,1,0,0,1,1,1,1,104.15,7303.05,0,101.43125,1,0,0,1,0
107,0,0,0,0,32,0,0,1,0,0,0,0,0,1,0,30.15,927.65,0,28.9890625,0,0,0,0,1
108,1,0,0,0,43,1,1,0,0,0,0,1,1,1,0,94.35,3921.3,0,91.19302325581396,1,0,0,0,1
109,1,0,1,1,72,1,0,0,0,0,0,0,0,2,0,19.4,1363.25,0,18.93402777777778,0,1,1,0,0
110,1,0,1,0,55,1,1,1,1,0,0,1,0,0,1,96.75,5238.9,1,95.25272727272727,1,0,0,1,0
111,0,0,0,0,52,1,0,1,0,1,1,0,0,1,0,57.95,3042.25,0,58.50480769230769,0,0,1,0,0
112,0,0,0,0,43,1,0,0,1,1,0,1,0,0,1,91.65,3954.1,0,91.95581395348837,1,0,0,1,0
113,0,1,1,0,37,1,1,0,0,0,0,0,0,0,1,76.5,2868.15,1,77.51756756756757,1,0,0,1,0
114,0,0,1,1,64,0,0,0,1,0,1,1,1,2,1,54.6,3423.5,0,53.4921875,0,0,0,1,0
115,1,0,1,1,3,1,0,1,1,0,0,1,0,0,0,89.85,248.4,0,82.8,1,0,0,1,0
116,0,0,0,0,36,0,0,1,0,0,0,0,0,2,0,31.05,1126.35,0,31.287499999999998,0,0,0,0,0
117,0,0,1,1,10,1,1,1,0,0,0,1,1,0,1,100.25,1064.65,1,106.465,1,0,0,1,0
118,0,0,0,0,41,1,0,0,0,0,0,0,0,2,0,20.65,835.15,0,20.36951219512195,0,1,0,0,1
119,1,0,1,1,27,1,1,0,1,0,1,0,0,0,1,85.2,2151.6,0,79.68888888888888,1,0,1,0,0
120,0,0,1,1,56,1,1,0,0,1,0,1,1,1,1,99.8,5515.45,0,98.49017857142857,1,0,1,0,0
121,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,20.7,112.75,0,18.791666666666668,0,1,0,0,1
122,1,0,0,0,3,1,1,0,0,0,0,0,0,0,1,74.4,229.55,1,76.51666666666667,1,0,0,1,0
123,0,0,1,1,7,1,0,1,0,0,0,0,0,0,0,50.7,350.35,0,50.050000000000004,0,0,0,0,1
124,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,20.85,62.9,0,15.725,0,1,0,0,1
125,1,0,0,0,33,1,0,1,0,0,1,1,0,2,1,88.95,3027.65,0,91.7469696969697,1,0,0,1,0
126,0,1,0,0,27,1,1,0,0,1,0,0,0,0,1,78.05,2135.5,1,79.0925925925926,1,0,0,1,0
127,1,0,1,0,72,1,1,0,0,0,0,0,0,2,1,23.55,1723.95,0,23.94375,0,1,0,0,0
128,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19.75,19.75,0,19.75,0,1,0,0,1
129,1,1,0,0,71,0,0,1,1,0,0,1,1,1,1,56.45,3985.35,0,56.131690140845066,0,0,0,1,0
130,0,0,0,0,13,1,1,0,0,0,0,0,1,0,1,85.95,1215.65,0,93.51153846153846,1,0,0,1,0
131,0,0,1,1,25,0,0,1,1,1,0,1,1,0,1,58.6,1502.65,1,60.106,0,0,1,0,0
132,1,0,0,0,67,1,0,0,0,0,1,0,0,2,0,50.55,3260.1,0,48.65820895522388,0,0,0,0,0
133,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,35.45,35.45,1,35.45,0,0,0,1,0
134,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,44.35,81.25,1,40.625,0,0,0,1,0
135,0,0,0,0,43,1,1,0,0,0,0,0,0,2,1,25.7,1188.2,0,27.632558139534886,0,1,1,0,0
136,0,0,0,0,23,1,0,1,0,0,0,0,0,0,1,75.0,1778.5,0,77.32608695652173,1,0,0,0,0
137,0,0,1,1,64,1,0,0,0,0,0,0,0,2,0,20.2,1277.75,0,19.96484375,0,1,0,0,1
138,1,0,0,1,57,1,0,0,0,0,0,0,0,2,1,19.6,1170.55,0,20.5359649122807,0,1,0,0,1
139,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,70.45,70.45,1,70.45,1,0,0,0,1
140,0,1,1,1,72,1,1,1,1,1,1,1,1,2,1,88.05,6425.65,0,89.24513888888889,0,0,1,0,0
141,0,0,0,0,8,1,1,1,0,0,1,0,1,0,0,71.15,563.65,1,70.45625,0,0,0,1,0
142,0,0,1,0,61,1,1,0,1,0,0,1,1,2,1,101.05,5971.25,0,97.88934426229508,1,0,0,0,0
143,1,0,0,0,64,1,1,1,1,0,0,0,0,1,1,84.3,5289.05,0,82.64140625,1,0,1,0,0
144,1,1,1,0,71,1,1,0,0,0,0,0,0,2,0,23.95,1756.2,0,24.735211267605635,0,1,0,0,0
145,0,0,1,1,65,1,1,1,1,0,1,1,0,2,1,99.05,6416.7,0,98.71846153846154,1,0,1,0,0
146,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,19.6,61.35,0,20.45,0,1,0,0,1
147,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,45.65,45.65,1,45.65,0,0,0,1,0
148,1,0,0,1,30,1,0,0,1,1,0,1,0,1,0,64.5,1929.95,0,64.33166666666666,0,0,1,0,0
149,1,0,1,1,15,1,0,0,1,1,1,0,1,0,1,69.5,1071.4,0,71.42666666666668,0,0,0,0,1
150,0,0,1,1,8,1,0,0,0,0,1,1,1,0,1,68.55,564.35,0,70.54375,0,0,0,1,0
151,1,0,0,0,7,1,1,0,0,0,0,1,1,0,0,95.0,655.5,1,93.64285714285714,1,0,0,0,1
152,0,0,1,1,70,1,1,1,1,1,0,1,1,1,1,108.15,7930.55,0,113.29357142857143,1,0,1,0,0
153,1,0,1,1,62,1,0,1,1,1,1,1,1,2,0,86.1,5215.25,0,84.11693548387096,0,0,0,1,0
154,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,19.7,113.5,0,18.916666666666668,0,1,0,0,1
155,0,0,1,1,14,1,0,0,0,0,0,0,1,0,1,80.9,1152.8,0,82.34285714285714,1,0,0,0,0
156,0,0,0,0,22,1,1,0,0,0,0,1,0,0,1,84.15,1821.95,0,82.81590909090909,1,0,0,0,0
157,1,0,1,1,22,1,0,0,0,0,0,0,0,1,0,20.15,419.9,0,19.086363636363636,0,1,0,0,1
158,1,0,1,1,16,1,0,1,0,1,0,1,0,2,0,64.25,1024.0,0,64.0,0,0,0,0,1
159,1,0,0,0,10,1,1,0,0,0,0,0,0,2,0,25.7,251.6,0,25.16,0,1,0,0,0
160,0,0,0,1,13,1,0,1,1,0,0,0,0,0,1,56.0,764.55,0,58.81153846153846,0,0,0,1,0
161,0,0,1,0,20,1,1,1,0,0,0,0,0,0,0,82.4,1592.35,1,79.61749999999999,1,0,0,1,0
162,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,69.7,135.2,0,67.6,1,0,0,1,0
163,1,0,0,0,53,1,1,0,1,1,1,0,1,2,1,73.9,3958.25,0,74.68396226415095,0,0,0,0,0
164,0,0,1,1,11,1,0,0,0,0,0,0,0,1,0,20.6,233.9,0,21.263636363636365,0,1,0,0,1
165,1,0,1,0,69,1,0,0,0,0,0,0,0,2,0,19.9,1363.45,0,19.76014492753623,0,1,0,0,1
166,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,70.9,273.0,1,68.25,1,0,0,0,0
167,1,0,1,0,72,1,1,1,1,1,1,1,1,2,1,89.05,6254.45,0,86.86736111111111,0,0,0,0,0
168,1,1,1,0,58,0,0,0,1,1,0,0,1,0,1,45.3,2651.2,1,45.710344827586205,0,0,0,1,0
169,0,0,1,1,16,1,0,0,0,0,0,0,0,0,0,20.4,321.4,0,20.0875,0,1,0,1,0
170,1,0,1,0,43,1,0,1,0,1,1,0,0,1,1,84.25,3539.25,0,82.30813953488372,1,0,0,0,0
171,0,0,1,0,2,1,1,0,0,1,1,1,1,0,1,104.4,242.8,1,121.4,1,0,0,1,0
172,1,0,1,0,14,1,0,0,1,1,1,1,1,2,0,81.95,1181.75,0,84.41071428571429,0,0,0,0,1
173,0,0,1,0,53,1,0,0,0,1,0,1,1,1,1,94.85,5000.2,1,94.3433962264151,1,0,0,0,0
174,0,0,0,0,32,1,0,0,0,0,0,0,0,1,0,20.55,654.55,0,20.4546875,0,1,0,0,0
175,0,0,1,0,34,1,1,0,0,0,0,0,0,0,0,24.7,780.2,0,22.947058823529414,0,1,0,1,0
176,0,1,0,0,15,1,1,0,0,0,0,0,0,0,1,74.45,1145.7,1,76.38000000000001,1,0,0,0,1
177,0,1,0,0,7,1,0,1,0,0,0,0,0,0,0,76.45,503.6,1,71.94285714285715,1,0,0,0,0
178,0,0,1,1,15,1,1,0,1,1,0,1,1,0,1,105.35,1559.25,0,103.95,1,0,0,0,0
179,1,0,1,0,61,1,0,0,0,0,0,0,0,1,1,20.55,1252.0,0,20.524590163934427,0,1,1,0,0
180,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29.95,29.95,1,29.95,0,0,0,0,0
181,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,45.3,45.3,0,45.3,0,0,0,0,1
182,1,0,0,0,8,1,1,0,0,0,0,0,1,0,0,84.5,662.65,1,82.83125,1,0,0,0,0
183,1,0,1,1,33,1,0,1,0,1,0,1,1,1,0,74.75,2453.3,0,74.34242424242424,0,0,1,0,0
184,0,0,0,0,13,1,0,0,1,1,0,0,0,0,1,79.25,1111.65,1,85.51153846153846,1,0,0,1,0
185,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,24.8,24.8,1,24.8,0,0,0,1,0
186,1,0,0,0,20,1,0,0,1,0,0,0,0,0,1,51.8,1023.85,0,51.1925,0,0,0,0,1
187,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,30.4,82.15,0,27.383333333333336,0,0,0,1,0
188,0,0,0,0,13,1,0,0,0,0,0,0,0,1,0,19.65,244.8,0,18.83076923076923,0,1,0,1,0
189,0,0,1,0,40,1,1,0,1,0,0,0,0,0,0,56.6,2379.1,0,59.4775,0,0,1,0,0
190,1,0,1,1,43,1,1,1,0,0,1,0,1,1,1,71.9,3173.35,0,73.79883720930232,0,0,1,0,0
191,1,0,1,0,6,1,0,0,1,1,0,0,1,0,1,91.0,531.0,1,88.5,1,0,0,1,0
192,0,0,1,1,69,1,0,0,0,0,0,0,0,2,0,19.75,1375.4,0,19.933333333333334,0,1,0,0,0
193,0,0,1,1,72,1,1,1,1,1,0,1,1,2,0,109.7,8129.3,0,112.90694444444445,1,0,1,0,0
194,1,0,1,1,59,1,0,0,0,0,0,0,0,2,0,19.3,1192.7,0,20.215254237288136,0,1,1,0,0
195,0,0,1,0,20,1,0,1,1,0,1,1,0,0,1,96.55,1901.65,0,95.08250000000001,1,0,0,1,0
196,1,0,1,1,24,1,1,0,0,0,0,0,0,2,1,24.1,587.4,0,24.474999999999998,0,1,0,0,0
197,1,0,0,0,59,1,1,0,1,1,1,1,1,0,1,111.35,6519.75,0,110.5042372881356,1,0,0,1,0
198,1,0,1,1,72,1,1,0,1,1,1,1,1,2,1,112.25,8041.65,0,111.68958333333333,1,0,0,0,0
199,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,20.75,20.75,0,20.75,0,1,0,0,1
200,0,0,1,0,27,1,0,1,0,0,1,1,1,1,1,101.9,2681.15,0,99.30185185185185,1,0,1,0,0
201,0,0,0,0,14,1,0,0,1,0,1,0,0,0,1,80.05,1112.3,0,79.45,1,0,1,0,0
202,1,0,1,1,71,1,1,1,0,1,0,1,1,2,0,105.55,7405.5,0,104.30281690140845,1,0,0,1,0
203,1,0,0,1,13,1,0,0,0,0,0,1,0,0,1,78.3,1033.95,0,79.53461538461539,1,0,1,0,0
204,1,0,0,0,44,1,0,0,0,0,0,0,0,0,0,68.85,2958.95,0,67.24886363636364,1,0,1,0,0
205,0,0,0,0,33,1,0,0,1,0,1,0,0,1,1,79.95,2684.85,0,81.35909090909091,1,0,0,0,0
206,1,0,1,1,72,0,0,1,1,1,1,0,1,2,1,55.45,4179.2,0,58.044444444444444,0,0,1,0,0
207,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,79.9,79.9,1,79.9,1,0,0,1,0
208,0,0,0,0,19,1,0,1,0,1,1,1,1,0,1,106.6,1934.45,1,101.81315789473685,1,0,0,1,0
209,1,0,1,0,64,1,0,0,1,1,1,1,1,1,1,102.45,6654.1,0,103.9703125,1,0,1,0,0
210,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,46.0,84.5,1,42.25,0,0,1,0,0
211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.25,25.25,0,25.25,0,0,0,1,0
212,1,0,0,1,61,1,0,0,0,0,0,0,0,2,0,19.75,1124.2,0,18.42950819672131,0,1,0,0,1
213,0,0,1,1,29,1,0,0,0,0,0,0,0,1,0,20.0,540.05,0,18.622413793103448,0,1,0,1,0
214,1,1,1,0,23,1,1,0,0,0,0,0,1,0,0,86.8,1975.85,0,85.90652173913043,1,0,0,1,0
215,0,0,1,0,57,0,0,1,1,1,0,1,1,0,1,58.75,3437.45,0,60.30614035087719,0,0,0,0,0
216,1,0,1,1,72,0,0,1,1,1,1,0,0,2,0,45.25,3139.8,0,43.608333333333334,0,0,1,0,0
217,1,0,1,0,66,0,0,1,1,1,1,1,0,2,1,56.6,3789.2,0,57.41212121212121,0,0,0,0,0
218,1,0,1,1,65,1,1,0,1,1,1,1,1,2,1,84.2,5324.5,0,81.91538461538461,0,0,0,0,0
219,0,0,0,0,8,1,0,0,0,0,0,1,0,0,1,80.0,624.6,0,78.075,1,0,0,0,0
220,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,70.15,268.35,1,67.0875,1,0,0,1,0
221,0,0,1,0,71,1,1,0,0,0,0,0,0,2,0,24.75,1836.9,0,25.871830985915494,0,1,0,0,0
222,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,20.2,20.2,0,20.2,0,1,0,1,0
223,1,0,1,0,4,1,0,0,0,0,1,0,0,0,0,50.05,179.35,1,44.8375,0,0,0,0,1
224,0,0,0,0,12,1,0,0,0,0,0,0,0,1,1,19.35,219.35,0,18.279166666666665,0,1,0,0,0
225,1,0,0,0,24,0,0,1,0,0,0,1,1,1,1,50.6,1288.75,0,53.697916666666664,0,0,0,0,1
226,0,0,1,1,31,1,0,1,0,1,1,1,1,1,1,81.15,2545.75,0,82.12096774193549,0,0,0,0,1
227,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,55.2,55.2,1,55.2,0,0,0,0,1
228,1,0,0,0,30,1,1,0,0,0,1,0,1,0,1,89.9,2723.15,0,90.77166666666668,1,0,1,0,0
